Region_kode,Region,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,Personer1,Personer,1986,1986,9059
1130,Strand,Personer1,Personer,1987,1987,9221
1130,Strand,Personer1,Personer,1988,1988,9435
1130,Strand,Personer1,Personer,1989,1989,9525
1130,Strand,Personer1,Personer,1990,1990,9545
1130,Strand,Personer1,Personer,1991,1991,9535
1130,Strand,Personer1,Personer,1992,1992,9538
1130,Strand,Personer1,Personer,1993,1993,9584
1130,Strand,Personer1,Personer,1994,1994,9624
1130,Strand,Personer1,Personer,1995,1995,9728
1130,Strand,Personer1,Personer,1996,1996,9740
1130,Strand,Personer1,Personer,1997,1997,9792
1130,Strand,Personer1,Personer,1998,1998,9837
1130,Strand,Personer1,Personer,1999,1999,9969
1130,Strand,Personer1,Personer,2000,2000,10122
1130,Strand,Personer1,Personer,2001,2001,10182
1130,Strand,Personer1,Personer,2002,2002,10188
1130,Strand,Personer1,Personer,2003,2003,10298
1130,Strand,Personer1,Personer,2004,2004,10328
1130,Strand,Personer1,Personer,2005,2005,10441
1130,Strand,Personer1,Personer,2006,2006,10566
1130,Strand,Personer1,Personer,2007,2007,10654
1130,Strand,Personer1,Personer,2008,2008,10894
1130,Strand,Personer1,Personer,2009,2009,11045
1130,Strand,Personer1,Personer,2010,2010,11206
1130,Strand,Personer1,Personer,2011,2011,11379
1130,Strand,Personer1,Personer,2012,2012,11533
1130,Strand,Personer1,Personer,2013,2013,11882
1130,Strand,Personer1,Personer,2014,2014,12139
1130,Strand,Personer1,Personer,2015,2015,12395
1130,Strand,Personer1,Personer,2016,2016,12464
1130,Strand,Personer1,Personer,2017,2017,12662
1130,Strand,Personer1,Personer,2018,2018,12638
1130,Strand,Personer1,Personer,2019,2019,12720
1130,Strand,Personer1,Personer,2020,2020,12968
1130,Strand,Personer1,Personer,2021,2021,13070
1130,Strand,Personer1,Personer,2022,2022,13268
1130,Strand,Personer1,Personer,2023,2023,13474
1130,Strand,Personer1,Personer,2024,2024,13703
1130,Strand,Personer1,Personer,2025,2025,13813
