KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKfunksjon0000_kode,KOKfunksjon0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2015,2015,2740.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2016,2016,2771.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2017,2017,3386.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2018,2018,3244.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2019,2019,3878.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2020,2020,3354.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2021,2021,3921.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2022,2022,3766.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2023,2023,4264.0
1130,Strand,100,Politisk styring,AG16,Lønnsutgifter fratrukket sykelønnsrefusjon,KOSbelop0000,Beløp (1000 kr),2024,2024,4166.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2015,2015,4989.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2016,2016,4622.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2017,2017,5222.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2018,2018,5373.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2019,2019,5879.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2020,2020,5317.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2021,2021,6259.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2022,2022,5590.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2023,2023,6655.0
1130,Strand,100,Politisk styring,AGD10,Brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2024,2024,6197.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2015,2015,4938.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2016,2016,4606.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2017,2017,5178.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2018,2018,5367.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2019,2019,5868.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2020,2020,5227.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2021,2021,6242.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2022,2022,5579.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2023,2023,6643.0
1130,Strand,100,Politisk styring,AGD2,Netto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2024,2024,6180.0
1130,Strand,100,Politisk styring,AGD4,Korrigerte brutto driftsutgifter på funksjon/tjenesteområde,KOSbelop0000,Beløp (1000 kr),2015,2015,4028.0
