KOKkapittel0000_kode,KOKkapittel0000,KOKkommuneregion0000_kode,KOKkommuneregion0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
KG41,A. Anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG41,A. Anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG41,A. Anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG41,A. Anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG41,A. Anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG42,A.1 Varige driftsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG42,A.1 Varige driftsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG42,A.1 Varige driftsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG42,A.1 Varige driftsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG42,A.1 Varige driftsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG43,A.1.1 Faste eiendommer og anlegg,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG43,A.1.1 Faste eiendommer og anlegg,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG43,A.1.1 Faste eiendommer og anlegg,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG43,A.1.1 Faste eiendommer og anlegg,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG43,A.1.1 Faste eiendommer og anlegg,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG44,"A.1.2 Utstyr, maskiner og transportmidler",1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG44,"A.1.2 Utstyr, maskiner og transportmidler",1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG44,"A.1.2 Utstyr, maskiner og transportmidler",1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG44,"A.1.2 Utstyr, maskiner og transportmidler",1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG44,"A.1.2 Utstyr, maskiner og transportmidler",1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG45,A.2 Finansielle anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG45,A.2 Finansielle anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG45,A.2 Finansielle anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG45,A.2 Finansielle anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG45,A.2 Finansielle anleggsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG46,A.2.1 Aksjer og andeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG46,A.2.1 Aksjer og andeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG46,A.2.1 Aksjer og andeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG46,A.2.1 Aksjer og andeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG46,A.2.1 Aksjer og andeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG47,A.2.2 Obligasjoner,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG47,A.2.2 Obligasjoner,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG47,A.2.2 Obligasjoner,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG47,A.2.2 Obligasjoner,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG47,A.2.2 Obligasjoner,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG48,A.2.3 Utlån,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG48,A.2.3 Utlån,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG48,A.2.3 Utlån,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG48,A.2.3 Utlån,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG48,A.2.3 Utlån,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG109,A.2.4 Konserninterne langsiktige fordringer,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG109,A.2.4 Konserninterne langsiktige fordringer,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG109,A.2.4 Konserninterne langsiktige fordringer,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG109,A.2.4 Konserninterne langsiktige fordringer,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG109,A.2.4 Konserninterne langsiktige fordringer,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG49,A.3. Immaterielle eiendeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG49,A.3. Immaterielle eiendeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG49,A.3. Immaterielle eiendeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
KG49,A.3. Immaterielle eiendeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2023,2023,
KG49,A.3. Immaterielle eiendeler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2024,2024,
KG50,A.4 Pensjonsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2020,2020,
KG50,A.4 Pensjonsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2021,2021,
KG50,A.4 Pensjonsmidler,1130,Strand,KOSbelop0000,Beløp (1000 kr),2022,2022,
