KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,B,(Fylkes-)Kommunekasse,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2020,2020,407358.0
1130,Strand,B,(Fylkes-)Kommunekasse,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2021,2021,408647.0
1130,Strand,B,(Fylkes-)Kommunekasse,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2022,2022,411294.0
1130,Strand,B,(Fylkes-)Kommunekasse,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2023,2023,465181.0
1130,Strand,B,(Fylkes-)Kommunekasse,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2024,2024,498731.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2020,2020,352943.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2021,2021,415522.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2022,2022,463454.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2023,2023,440212.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2024,2024,455010.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2020,2020,34761.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2021,2021,36943.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2022,2022,36827.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2023,2023,38351.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2024,2024,38567.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2020,2020,407.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2021,2021,408.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2022,2022,1432.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2023,2023,456.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2024,2024,456.0
