KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKkapittel0000_kode,KOKkapittel0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,KG95,A.Anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,2921673.0
1130,Strand,KG95,A.Anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,3183800.0
1130,Strand,KG95,A.Anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,3428245.0
1130,Strand,KG95,A.Anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,3605145.0
1130,Strand,KG95,A.Anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG95,A.Anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,2921673.0
1130,Strand,KG95,A.Anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,3183800.0
1130,Strand,KG95,A.Anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,3428245.0
1130,Strand,KG95,A.Anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,3605145.0
1130,Strand,KG95,A.Anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG42,A.1 Varige driftsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,1678639.0
1130,Strand,KG42,A.1 Varige driftsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,1952765.0
