KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2020,2020,407358.0
1130,Strand,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2021,2021,408647.0
1130,Strand,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2022,2022,411294.0
1130,Strand,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2023,2023,465181.0
1130,Strand,A800,Rammetilskudd,KOSbelop0000,Beløp (1000 kr),2024,2024,498731.0
1130,Strand,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2020,2020,352943.0
1130,Strand,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2021,2021,415522.0
1130,Strand,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2022,2022,463454.0
1130,Strand,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2023,2023,440212.0
1130,Strand,AGD75,Inntekts- og formueskatt,KOSbelop0000,Beløp (1000 kr),2024,2024,455010.0
1130,Strand,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2020,2020,34761.0
1130,Strand,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2021,2021,36943.0
1130,Strand,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2022,2022,36827.0
1130,Strand,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2023,2023,38351.0
1130,Strand,AG10,Eiendomsskatt totalt,KOSbelop0000,Beløp (1000 kr),2024,2024,38567.0
1130,Strand,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2020,2020,407.0
1130,Strand,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2021,2021,408.0
1130,Strand,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2022,2022,1432.0
1130,Strand,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2023,2023,456.0
1130,Strand,AGD76,Andre skatteinntekter,KOSbelop0000,Beløp (1000 kr),2024,2024,456.0
1130,Strand,AGD77,Andre overføringer og tilskudd fra staten,KOSbelop0000,Beløp (1000 kr),2020,2020,32804.0
1130,Strand,AGD77,Andre overføringer og tilskudd fra staten,KOSbelop0000,Beløp (1000 kr),2021,2021,28278.0
1130,Strand,AGD77,Andre overføringer og tilskudd fra staten,KOSbelop0000,Beløp (1000 kr),2022,2022,45836.0
1130,Strand,AGD77,Andre overføringer og tilskudd fra staten,KOSbelop0000,Beløp (1000 kr),2023,2023,85710.0
1130,Strand,AGD77,Andre overføringer og tilskudd fra staten,KOSbelop0000,Beløp (1000 kr),2024,2024,87635.0
1130,Strand,AGD78,Overføringer og tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2020,2020,127555.0
1130,Strand,AGD78,Overføringer og tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2021,2021,141148.0
1130,Strand,AGD78,Overføringer og tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2022,2022,147794.0
1130,Strand,AGD78,Overføringer og tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2023,2023,160886.0
1130,Strand,AGD78,Overføringer og tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2024,2024,188157.0
1130,Strand,A600,Brukerbetalinger,KOSbelop0000,Beløp (1000 kr),2020,2020,23478.0
1130,Strand,A600,Brukerbetalinger,KOSbelop0000,Beløp (1000 kr),2021,2021,27432.0
1130,Strand,A600,Brukerbetalinger,KOSbelop0000,Beløp (1000 kr),2022,2022,29533.0
1130,Strand,A600,Brukerbetalinger,KOSbelop0000,Beløp (1000 kr),2023,2023,31983.0
1130,Strand,A600,Brukerbetalinger,KOSbelop0000,Beløp (1000 kr),2024,2024,31886.0
1130,Strand,AGD96,Salgs- og leieinntekter,KOSbelop0000,Beløp (1000 kr),2020,2020,103101.0
1130,Strand,AGD96,Salgs- og leieinntekter,KOSbelop0000,Beløp (1000 kr),2021,2021,117800.0
1130,Strand,AGD96,Salgs- og leieinntekter,KOSbelop0000,Beløp (1000 kr),2022,2022,137612.0
1130,Strand,AGD96,Salgs- og leieinntekter,KOSbelop0000,Beløp (1000 kr),2023,2023,106940.0
1130,Strand,AGD96,Salgs- og leieinntekter,KOSbelop0000,Beløp (1000 kr),2024,2024,115212.0
1130,Strand,AGD45,Sum driftsinntekter (A),KOSbelop0000,Beløp (1000 kr),2020,2020,1082407.0
1130,Strand,AGD45,Sum driftsinntekter (A),KOSbelop0000,Beløp (1000 kr),2021,2021,1176178.0
1130,Strand,AGD45,Sum driftsinntekter (A),KOSbelop0000,Beløp (1000 kr),2022,2022,1273782.0
1130,Strand,AGD45,Sum driftsinntekter (A),KOSbelop0000,Beløp (1000 kr),2023,2023,1329719.0
1130,Strand,AGD45,Sum driftsinntekter (A),KOSbelop0000,Beløp (1000 kr),2024,2024,1415654.0
1130,Strand,AG15,Lønnsutgifter og oppgavepliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2020,2020,555350.0
1130,Strand,AG15,Lønnsutgifter og oppgavepliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2021,2021,586531.0
1130,Strand,AG15,Lønnsutgifter og oppgavepliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2022,2022,630820.0
1130,Strand,AG15,Lønnsutgifter og oppgavepliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2023,2023,687907.0
1130,Strand,AG15,Lønnsutgifter og oppgavepliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2024,2024,710739.0
1130,Strand,AG35,Sosiale utgifter,KOSbelop0000,Beløp (1000 kr),2020,2020,135223.0
1130,Strand,AG35,Sosiale utgifter,KOSbelop0000,Beløp (1000 kr),2021,2021,144607.0
1130,Strand,AG35,Sosiale utgifter,KOSbelop0000,Beløp (1000 kr),2022,2022,158602.0
1130,Strand,AG35,Sosiale utgifter,KOSbelop0000,Beløp (1000 kr),2023,2023,157220.0
1130,Strand,AG35,Sosiale utgifter,KOSbelop0000,Beløp (1000 kr),2024,2024,203448.0
1130,Strand,AG17,Kjøp av varer og tjenester som inngår i (fylkes-)kommunal tjenesteproduksjon ekskl. opplysningspliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2020,2020,131089.0
1130,Strand,AG17,Kjøp av varer og tjenester som inngår i (fylkes-)kommunal tjenesteproduksjon ekskl. opplysningspliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2021,2021,160017.0
1130,Strand,AG17,Kjøp av varer og tjenester som inngår i (fylkes-)kommunal tjenesteproduksjon ekskl. opplysningspliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2022,2022,184684.0
1130,Strand,AG17,Kjøp av varer og tjenester som inngår i (fylkes-)kommunal tjenesteproduksjon ekskl. opplysningspliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2023,2023,182210.0
1130,Strand,AG17,Kjøp av varer og tjenester som inngår i (fylkes-)kommunal tjenesteproduksjon ekskl. opplysningspliktige godtgjørelser,KOSbelop0000,Beløp (1000 kr),2024,2024,189658.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2020,2020,135523.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2021,2021,148044.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2022,2022,155542.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2023,2023,176502.0
1130,Strand,AGD51,"Kjøp av tjenester som erstatter kommunal tjenesteproduksjon, totalt",KOSbelop0000,Beløp (1000 kr),2024,2024,199243.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2020,2020,57390.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2021,2021,59612.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2022,2022,68627.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2023,2023,77163.0
1130,Strand,AGD80,Overføringer og tilskudd til andre,KOSbelop0000,Beløp (1000 kr),2024,2024,76504.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2020,2020,56335.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2021,2021,63615.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2022,2022,66010.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2023,2023,78788.0
1130,Strand,A590,Avskrivninger,KOSbelop0000,Beløp (1000 kr),2024,2024,84461.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2020,2020,1070910.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2021,2021,1162426.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2022,2022,1264285.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2023,2023,1359790.0
1130,Strand,AGD46,Sum driftsutgifter (B),KOSbelop0000,Beløp (1000 kr),2024,2024,1464053.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2020,2020,3734.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2021,2021,956.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2022,2022,4162.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2023,2023,-4828.0
1130,Strand,AG18,Differansen i konserninterne kjøp/salg /overføringer (C ),KOSbelop0000,Beløp (1000 kr),2024,2024,-9111.0
1130,Strand,AGD65,Brutto driftsresultat (D=A-B-C),KOSbelop0000,Beløp (1000 kr),2020,2020,7763.0
