KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,B,(Fylkes-)Kommunekasse,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2020,2020,315707.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2021,2021,330093.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2022,2022,237851.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2023,2023,136187.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2024,2024,142668.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2020,2020,55711.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2021,2021,4383.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2022,2022,1654.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2023,2023,1198.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2024,2024,1183.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2020,2020,1955.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2021,2021,1743.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2022,2022,5682.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2023,2023,312.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2024,2024,342.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2023,2023,10128.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2020,2020,373373.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2021,2021,336219.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2022,2022,245187.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2023,2023,147825.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2024,2024,144193.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2020,2020,38852.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2021,2021,57763.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2022,2022,38814.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2023,2023,15359.0
1130,Strand,B,(Fylkes-)Kommunekasse,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2024,2024,23288.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2020,2020,92392.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2021,2021,27735.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2022,2022,13355.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2023,2023,17046.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2024,2024,17048.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2020,2020,6596.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2021,2021,10245.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2022,2022,8681.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2023,2023,12203.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2024,2024,6780.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2020,2020,755.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2021,2021,5.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2023,2023,28996.0
