år,region_kode,region,regnskapsomfang_kode,regnskapsomfang,statistikkvariabel_kode,statistikkvariabel,regnskapsbegrep_kode,regnskapsbegrep,verdi
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG114,Arbeidskapital ex. premieavvik,22.7
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD21,Avdrag (netto) i driftsregnskapet,19.7
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD74,Avsetning til bundne fond (netto),19.5
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD18,Brutto driftsresultat,17.9
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI1,Brutto investeringsutgifter totalt,10.5
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),56,Disposisjonsfond (K),3.1
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG21,Fri egenkapital drift,3.5
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG115,Langsiktig gjeld,3.6
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),5900,Merforbruk i driftsregnskapet (K),3.7
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD23,Netto driftsresultat,3.8
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD86,Netto finansutgifter (D),-1.6
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,-0.4
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGID1,Overskudd før lån og avsetninger,0.0
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),40,Pensjonsforpliktelse,0.8
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD97,Renter (netto),-0.3
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD24,Renter (netto) inkl. utbytte og eieruttak,0.4
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD25,Tap/gevinst (netto) på finansielle omløpsmidler,0.4
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AD905,Utbytte og eieruttak,-0.8
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD73,Utlån (netto) i driftsregnskapet,-2.8
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD29,Årets merforbruk i driftsregnskapet,-3.2
2020,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI7,Årets udekket i investeringsregnskapet,34.8
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG114,Arbeidskapital ex. premieavvik,29.0
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD21,Avdrag (netto) i driftsregnskapet,19.4
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD74,Avsetning til bundne fond (netto),10.5
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD18,Brutto driftsresultat,10.3
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI1,Brutto investeringsutgifter totalt,12.3
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),56,Disposisjonsfond (K),12.1
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG21,Fri egenkapital drift,9.8
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG115,Langsiktig gjeld,5.9
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),5900,Merforbruk i driftsregnskapet (K),1.4
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD23,Netto driftsresultat,12.3
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD86,Netto finansutgifter (D),12.1
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,9.8
