KOKkommuneregion0000_kode,KOKkommuneregion0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2007,2007,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2008,2008,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2009,2009,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2010,2010,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2011,2011,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2012,2012,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2013,2013,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2014,2014,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2015,2015,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2016,2016,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2017,2017,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2018,2018,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2019,2019,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2020,2020,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2021,2021,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2022,2022,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2023,2023,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2024,2024,1.0
1130,Strand,KOShareskatt0000,"Har kommunen innført eiendomsskatt? (ja=1, nei=0)",2025,2025,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2007,2007,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2008,2008,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2009,2009,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2010,2010,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2011,2011,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2012,2012,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2013,2013,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2014,2014,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2015,2015,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2016,2016,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2017,2017,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2018,2018,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2019,2019,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2020,2020,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2021,2021,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2022,2022,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2023,2023,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2024,2024,1.0
1130,Strand,KOShelekommunen0000,"Har eiendomsskatt i hele kommunen (ja=1, nei=0)",2025,2025,1.0
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2007,2007,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2008,2008,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2009,2009,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2010,2010,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2011,2011,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2012,2012,
1130,Strand,KOShelekommunenu0000,"Har eiendomsskatt i hele kommunen, unntatt næringseiendom, kraftanlegg/-nett, vindkraftverk og petroleumsanlegg (ja=1, nei=0)",2013,2013,0.0
